Источники видео (Pexels, свободная лицензия):
tropical-island.mp4 — Pexels, автор Vincent Rivaud — https://www.pexels.com/video/tropical-beach-scene-with-palm-trees-and-clear-water-31387434/
swimming-pool.mp4 — Pexels, автор Pea W — https://www.pexels.com/video/water-ripples-in-swimming-pool-4201700/
beach-day.mp4 — Pexels, автор Said Alibay — https://www.pexels.com/video/child-playing-on-sunny-beach-by-the-sea-32230448/
ski-lift.mp4 — Pexels, автор Mauro Morandini — https://www.pexels.com/video/ski-lift-journey-through-snowy-mountainscape-36450731/
flip-flops.mp4 — Pexels, автор Chris Flxxx — https://www.pexels.com/video/relaxing-beach-scene-with-flip-flops-35600248/
mulled-wine.mp4 — Pexels, автор Polina ⠀ — https://www.pexels.com/video/pouring-mulled-wine-on-a-glass-cup-with-cinnamon-sticks-and-lemon-slices-5430749/
seljalandsfoss.mp4 — Pexels, автор Joe Venco — https://www.pexels.com/video/breathtaking-skogafoss-waterfall-in-iceland-39199765/
lake-baikal.mp4 — Pexels, автор Nadezhda Moryak — https://www.pexels.com/video/drone-footage-of-a-frozen-lake-7127949/
lake-bled.mp4 — Pexels, автор Atai Anarbek — https://www.pexels.com/video/picturesque-lake-bled-with-snowy-mountains-37131409/
angel-falls.mp4 — Pexels, автор LEONARDO DOURADO — https://www.pexels.com/video/drone-footage-of-a-waterfall-and-green-forest-trees-16754842/
havasu-falls.mp4 — Pexels, автор Alex Moliski — https://www.pexels.com/video/stunning-havasu-falls-in-grand-canyon-38282654/
andes.mp4 — Pexels, автор Nando Freitas — https://www.pexels.com/video/breathtaking-views-of-machu-picchu-in-peru-29070674/
kilimanjaro.mp4 — Pexels, автор Atlantic Ambience — https://www.pexels.com/video/snow-capped-mountains-under-the-blue-sky-15237851/
macau.mp4 — Pexels, автор Vera — https://www.pexels.com/video/illuminated-eiffel-tower-in-las-vegas-at-night-31946407/
niagara-falls.mp4 — Pexels, автор SHAHBAZ ZAMAN — https://www.pexels.com/video/breathtaking-aerial-view-of-niagara-falls-rainbow-32854851/
sand-dunes.mp4 — Pexels, автор Mario Amé — https://www.pexels.com/video/desert-explorer-captures-vast-sand-dunes-30094109/
saint-lucia.mp4 — Pexels, автор BAE  JUN — https://www.pexels.com/video/scenic-view-of-mont-saint-michel-at-twilight-28754008/
bahamas.mp4 — Pexels, автор ACkats Films — https://www.pexels.com/video/bimini-bahamas-28218197/
cuba.mp4 — Pexels, автор Murat Ilgarlar — https://www.pexels.com/video/view-of-cuban-street-on-rainy-day-5461013/
galapagos.mp4 — Pexels, автор Aldo Vázquez — https://www.pexels.com/video/scenic-coastal-landscape-with-rocky-islands-37479006/
azores.mp4 — Pexels, автор Atlantic Ambience — https://www.pexels.com/video/dramatic-cliffs-of-gran-canaria-s-coastline-31071158/
cyprus.mp4 — Pexels, автор Atlantic Ambience — https://www.pexels.com/video/aerial-view-of-stunning-cyprus-coastline-30677933/
sri-lanka.mp4 — Pexels, автор Ahmed ؜ — https://www.pexels.com/video/aerial-view-of-scenic-coastal-landscape-31253389/
bali.mp4 — Pexels, автор Vasilis Karkalas — https://www.pexels.com/video/lush-green-rice-terraces-in-bali-aerial-view-36012297/
madeira.mp4 — Pexels, автор ed1toR ㅤ — https://www.pexels.com/video/scenic-madeira-island-cliffs-and-ocean-view-33050418/
fiji.jpg — Pexels (фото), автор Leigh Williams — https://www.pexels.com/photo/birds-eye-view-of-tropical-sea-shore-19899369/
mauritius.mp4 — Pexels, автор Vincent Rivaud — https://www.pexels.com/video/crystal-clear-waters-of-le-morne-mauritius-34732422/
tahiti.mp4 — Pexels, автор Peggy Anke — https://www.pexels.com/video/video-in-a-white-sand-beach-5992615/
